exchange,exchange_market_id,exchange_symbol,timestamp,datetime_utc,yes_price,no_price,bid_yes,ask_yes
kalshi,KXXISUCCESSOR-45JAN01-ZLEJ,KXXISUCCESSOR-45JAN01-ZLEJ,1774374406,2026-03-24T17:46:46.604962+00:00,0.135,0.865,0.13,0.14
kalshi,KXXISUCCESSOR-45JAN01-ZGUO,KXXISUCCESSOR-45JAN01-ZGUO,1774374406,2026-03-24T17:46:46.604962+00:00,0.045000000000000005,0.955,0.02,0.07
kalshi,KXXISUCCESSOR-45JAN01-WHUN,KXXISUCCESSOR-45JAN01-WHUN,1774374406,2026-03-24T17:46:46.604962+00:00,0.05,0.95,0.02,0.08
kalshi,KXXISUCCESSOR-45JAN01-LQIA,KXXISUCCESSOR-45JAN01-LQIA,1774374406,2026-03-24T17:46:46.604962+00:00,0.135,0.865,0.12,0.15
kalshi,KXXISUCCESSOR-45JAN01-CQI,KXXISUCCESSOR-45JAN01-CQI,1774374406,2026-03-24T17:46:46.604962+00:00,0.13,0.87,0.1,0.16
kalshi,KXXISUCCESSOR-45JAN01-DXUE,KXXISUCCESSOR-45JAN01-DXUE,1774374406,2026-03-24T17:46:46.604962+00:00,0.27,0.73,0.24,0.3
kalshi,KXXISUCCESSOR-45JAN01-LXI,KXXISUCCESSOR-45JAN01-LXI,1774374406,2026-03-24T17:46:46.604962+00:00,0.095,0.905,0.09,0.1
kalshi,KXXISUCCESSOR-45JAN01-CMIN,KXXISUCCESSOR-45JAN01-CMIN,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXXISUCCESSOR-45JAN01-YLI,KXXISUCCESSOR-45JAN01-YLI,1774374406,2026-03-24T17:46:46.604962+00:00,0.065,0.935,0.06,0.07
kalshi,KXXISUCCESSOR-45JAN01-MXIN,KXXISUCCESSOR-45JAN01-MXIN,1774374406,2026-03-24T17:46:46.604962+00:00,0.04,0.96,0.02,0.06
kalshi,KXXISUCCESSOR-45JAN01-YYON,KXXISUCCESSOR-45JAN01-YYON,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXXISUCCESSOR-45JAN01-LGAN,KXXISUCCESSOR-45JAN01-LGAN,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXXISUCCESSOR-45JAN01-HLIF,KXXISUCCESSOR-45JAN01-HLIF,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXPERSONPRESFUENTES-45,KXPERSONPRESFUENTES-45,1774374406,2026-03-24T17:46:46.604962+00:00,0.12000000000000001,0.88,0.1,0.14
kalshi,KXNEXTISRAELPM-45JAN01-GEIS,KXNEXTISRAELPM-45JAN01-GEIS,1774374406,2026-03-24T17:46:46.604962+00:00,0.095,0.905,0.09,0.1
kalshi,KXNEXTISRAELPM-45JAN01-NBEN,KXNEXTISRAELPM-45JAN01-NBEN,1774374406,2026-03-24T17:46:46.604962+00:00,0.325,0.675,0.31,0.34
kalshi,KXNEXTISRAELPM-45JAN01-BGAN,KXNEXTISRAELPM-45JAN01-BGAN,1774374406,2026-03-24T17:46:46.604962+00:00,0.030000000000000002,0.97,0.01,0.05
kalshi,KXNEXTISRAELPM-45JAN01-IKAT,KXNEXTISRAELPM-45JAN01-IKAT,1774374406,2026-03-24T17:46:46.604962+00:00,0.165,0.835,0.14,0.19
kalshi,KXNEXTISRAELPM-45JAN01-YGAL,KXNEXTISRAELPM-45JAN01-YGAL,1774374406,2026-03-24T17:46:46.604962+00:00,0.03,0.97,0.02,0.04
kalshi,KXNEXTISRAELPM-45JAN01-YLAP,KXNEXTISRAELPM-45JAN01-YLAP,1774374406,2026-03-24T17:46:46.604962+00:00,0.095,0.905,0.07,0.12
kalshi,KXNEXTISRAELPM-45JAN01-IBEN,KXNEXTISRAELPM-45JAN01-IBEN,1774374406,2026-03-24T17:46:46.604962+00:00,0.04,0.96,0.02,0.06
kalshi,KXNEXTISRAELPM-45JAN01-YLEV,KXNEXTISRAELPM-45JAN01-YLEV,1774374406,2026-03-24T17:46:46.604962+00:00,0.08499999999999999,0.915,0.08,0.09
kalshi,KXNEXTISRAELPM-45JAN01-BSMO,KXNEXTISRAELPM-45JAN01-BSMO,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.02,0.05
kalshi,KXNEXTISRAELPM-45JAN01-YGOL,KXNEXTISRAELPM-45JAN01-YGOL,1774374406,2026-03-24T17:46:46.604962+00:00,0.015,0.985,0.01,0.02
kalshi,KXNEXTISRAELPM-45JAN01-ALIE,KXNEXTISRAELPM-45JAN01-ALIE,1774374406,2026-03-24T17:46:46.604962+00:00,0.015,0.985,0.01,0.02
kalshi,KXNEXTISRAELPM-45JAN01-YCOH,KXNEXTISRAELPM-45JAN01-YCOH,1774374406,2026-03-24T17:46:46.604962+00:00,0.005,0.995,0.0,0.01
kalshi,KXG7LEADEROUT-45JAN01-EMAC,KXG7LEADEROUT-45JAN01-EMAC,1774374406,2026-03-24T17:46:46.604962+00:00,0.25,0.75,0.22,0.28
kalshi,KXG7LEADEROUT-45JAN01-FMER,KXG7LEADEROUT-45JAN01-FMER,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXG7LEADEROUT-45JAN01-KSTA,KXG7LEADEROUT-45JAN01-KSTA,1774374406,2026-03-24T17:46:46.604962+00:00,0.63,0.37,0.62,0.64
kalshi,KXG7LEADEROUT-45JAN01-DJT,KXG7LEADEROUT-45JAN01-DJT,1774374406,2026-03-24T17:46:46.604962+00:00,0.055,0.945,0.05,0.06
kalshi,KXG7LEADEROUT-45JAN01-GMEL,KXG7LEADEROUT-45JAN01-GMEL,1774374406,2026-03-24T17:46:46.604962+00:00,0.04,0.96,0.02,0.06
kalshi,KXG7LEADEROUT-45JAN01-MCAR,KXG7LEADEROUT-45JAN01-MCAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.03,0.97,0.0,0.06
kalshi,KXG7LEADEROUT-45JAN01-STAK,KXG7LEADEROUT-45JAN01-STAK,1774374406,2026-03-24T17:46:46.604962+00:00,0.02,0.98,0.0,0.04
kalshi,KXRAMPBREX-40-BREX,KXRAMPBREX-40-BREX,1774374406,2026-03-24T17:46:46.604962+00:00,0.075,0.925,0.06,0.09
kalshi,KXRAMPBREX-40-RAMP,KXRAMPBREX-40-RAMP,1774374406,2026-03-24T17:46:46.604962+00:00,0.89,0.10999999999999999,0.86,0.92
kalshi,KXOAIANTH-40-OAI,KXOAIANTH-40-OAI,1774374406,2026-03-24T17:46:46.604962+00:00,0.5549999999999999,0.44500000000000006,0.54,0.57
kalshi,KXOAIANTH-40-ANTH,KXOAIANTH-40-ANTH,1774374406,2026-03-24T17:46:46.604962+00:00,0.435,0.565,0.43,0.44
kalshi,KXFUSION-40-JAN01,KXFUSION-40-JAN01,1774374406,2026-03-24T17:46:46.604962+00:00,0.495,0.505,0.47,0.52
kalshi,KXFUSION-35-JAN01,KXFUSION-35-JAN01,1774374406,2026-03-24T17:46:46.604962+00:00,0.46499999999999997,0.535,0.44,0.49
kalshi,KXFUSION-30-JAN01,KXFUSION-30-JAN01,1774374406,2026-03-24T17:46:46.604962+00:00,0.31,0.69,0.3,0.32
kalshi,KXDEELRIP-40-RIPP,KXDEELRIP-40-RIPP,1774374406,2026-03-24T17:46:46.604962+00:00,0.22999999999999998,0.77,0.21,0.25
kalshi,KXDEELRIP-40-DEEL,KXDEELRIP-40-DEEL,1774374406,2026-03-24T17:46:46.604962+00:00,0.78,0.21999999999999997,0.75,0.81
kalshi,KXEARTHQUAKECALIFORNIA-35,KXEARTHQUAKECALIFORNIA-35,1774374406,2026-03-24T17:46:46.604962+00:00,0.49,0.51,0.44,0.54
kalshi,KXROBOTMARS-35,KXROBOTMARS-35,1774374406,2026-03-24T17:46:46.604962+00:00,0.445,0.5549999999999999,0.43,0.46
kalshi,KXPERFORMBONDSONG-35-DUA,KXPERFORMBONDSONG-35-DUA,1774374406,2026-03-24T17:46:46.604962+00:00,0.21,0.79,0.18,0.24
kalshi,KXPERFORMBONDSONG-35-CHA,KXPERFORMBONDSONG-35-CHA,1774374406,2026-03-24T17:46:46.604962+00:00,0.05500000000000001,0.945,0.04,0.07
kalshi,KXPERFORMBONDSONG-35-LAD,KXPERFORMBONDSONG-35-LAD,1774374406,2026-03-24T17:46:46.604962+00:00,0.045000000000000005,0.955,0.02,0.07
kalshi,KXPERFORMBONDSONG-35-WEE,KXPERFORMBONDSONG-35-WEE,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.0,0.07
kalshi,KXPERFORMBONDSONG-35-SZA,KXPERFORMBONDSONG-35-SZA,1774374406,2026-03-24T17:46:46.604962+00:00,0.01,0.99,0.0,0.02
kalshi,KXPERFORMBONDSONG-35-BEY,KXPERFORMBONDSONG-35-BEY,1774374406,2026-03-24T17:46:46.604962+00:00,0.03,0.97,0.0,0.06
kalshi,KXPERFORMBONDSONG-35-SAM,KXPERFORMBONDSONG-35-SAM,1774374406,2026-03-24T17:46:46.604962+00:00,0.05,0.95,0.04,0.06
kalshi,KXPERFORMBONDSONG-35-OLI,KXPERFORMBONDSONG-35-OLI,1774374406,2026-03-24T17:46:46.604962+00:00,0.39,0.61,0.36,0.42
kalshi,KXPERFORMBONDSONG-35-LOR,KXPERFORMBONDSONG-35-LOR,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.0,0.07
kalshi,KXPERFORMBONDSONG-35-COL,KXPERFORMBONDSONG-35-COL,1774374406,2026-03-24T17:46:46.604962+00:00,0.03,0.97,0.0,0.06
kalshi,KXPERFORMBONDSONG-35-LAN,KXPERFORMBONDSONG-35-LAN,1774374406,2026-03-24T17:46:46.604962+00:00,0.245,0.755,0.23,0.26
kalshi,KXPERFORMBONDSONG-35-SAB,KXPERFORMBONDSONG-35-SAB,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.0,0.07
kalshi,KXPERFORMBONDSONG-35-LEW,KXPERFORMBONDSONG-35-LEW,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXPERFORMBONDSONG-35-HAR,KXPERFORMBONDSONG-35-HAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.0,0.07
kalshi,KXPERFORMBONDSONG-35-ARI,KXPERFORMBONDSONG-35-ARI,1774374406,2026-03-24T17:46:46.604962+00:00,0.03,0.97,0.0,0.06
kalshi,KXPERFORMBONDSONG-35-MIL,KXPERFORMBONDSONG-35-MIL,1774374406,2026-03-24T17:46:46.604962+00:00,0.05,0.95,0.04,0.06
kalshi,KXPERFORMBONDSONG-35-U2,KXPERFORMBONDSONG-35-U2,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXPERFORMBONDSONG-35-ELT,KXPERFORMBONDSONG-35-ELT,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXPERFORMBONDSONG-35-ED,KXPERFORMBONDSONG-35-ED,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXPERFORMBONDSONG-35-OAS,KXPERFORMBONDSONG-35-OAS,1774374406,2026-03-24T17:46:46.604962+00:00,0.16,0.84,0.12,0.2
kalshi,KXPERFORMBONDSONG-35-TAY,KXPERFORMBONDSONG-35-TAY,1774374406,2026-03-24T17:46:46.604962+00:00,0.005,0.995,0.0,0.01
kalshi,KXNEWPOPE-35-LANT,KXNEWPOPE-35-LANT,1774374406,2026-03-24T17:46:46.604962+00:00,0.095,0.905,0.06,0.13
kalshi,KXNEWPOPE-35-PERD,KXNEWPOPE-35-PERD,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.01,0.04
kalshi,KXNEWPOPE-35-PPAR,KXNEWPOPE-35-PPAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.13,0.87,0.11,0.15
kalshi,KXNEWPOPE-35-RLEO,KXNEWPOPE-35-RLEO,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.03,0.04
kalshi,KXNEWPOPE-35-MZUP,KXNEWPOPE-35-MZUP,1774374406,2026-03-24T17:46:46.604962+00:00,0.02,0.98,0.01,0.03
kalshi,KXJOHNNYDEPP-35-JOH,KXJOHNNYDEPP-35-JOH,1774374406,2026-03-24T17:46:46.604962+00:00,0.49,0.51,0.47,0.51
kalshi,KXBRUVSEAT-35,KXBRUVSEAT-35,1774374406,2026-03-24T17:46:46.604962+00:00,0.02,0.98,0.0,0.04
kalshi,KXAFRICALEADEROUT-35-WR,KXAFRICALEADEROUT-35-WR,1774374406,2026-03-24T17:46:46.604962+00:00,0.115,0.885,0.09,0.14
kalshi,KXAFRICALEADEROUT-35-AT,KXAFRICALEADEROUT-35-AT,1774374406,2026-03-24T17:46:46.604962+00:00,0.045000000000000005,0.955,0.02,0.07
kalshi,KXAFRICALEADEROUT-35-JM,KXAFRICALEADEROUT-35-JM,1774374406,2026-03-24T17:46:46.604962+00:00,0.045000000000000005,0.955,0.02,0.07
kalshi,KXAFRICALEADEROUT-35-CR,KXAFRICALEADEROUT-35-CR,1774374406,2026-03-24T17:46:46.604962+00:00,0.045000000000000005,0.955,0.02,0.07
kalshi,KXAFRICALEADEROUT-35-TAS,KXAFRICALEADEROUT-35-TAS,1774374406,2026-03-24T17:46:46.604962+00:00,0.030000000000000002,0.97,0.01,0.05
kalshi,KXAFRICALEADEROUT-35-BT,KXAFRICALEADEROUT-35-BT,1774374406,2026-03-24T17:46:46.604962+00:00,0.305,0.6950000000000001,0.29,0.32
kalshi,KXAFRICALEADEROUT-35-FT,KXAFRICALEADEROUT-35-FT,1774374406,2026-03-24T17:46:46.604962+00:00,0.135,0.865,0.11,0.16
kalshi,KXAFRICALEADEROUT-35-AFES,KXAFRICALEADEROUT-35-AFES,1774374406,2026-03-24T17:46:46.604962+00:00,0.055,0.945,0.03,0.08
kalshi,KXAFRICALEADEROUT-35-EM,KXAFRICALEADEROUT-35-EM,1774374406,2026-03-24T17:46:46.604962+00:00,0.155,0.845,0.13,0.18
kalshi,KXAFRICALEADEROUT-35-PK,KXAFRICALEADEROUT-35-PK,1774374406,2026-03-24T17:46:46.604962+00:00,0.025,0.975,0.0,0.05
kalshi,KXACTORSONNYCROCKETT-35-RIC,KXACTORSONNYCROCKETT-35-RIC,1774374406,2026-03-24T17:46:46.604962+00:00,0.08,0.92,0.05,0.11
kalshi,KXACTORSONNYCROCKETT-35-TAY,KXACTORSONNYCROCKETT-35-TAY,1774374406,2026-03-24T17:46:46.604962+00:00,0.065,0.935,0.02,0.11
kalshi,KXACTORSONNYCROCKETT-35-MIL,KXACTORSONNYCROCKETT-35-MIL,1774374406,2026-03-24T17:46:46.604962+00:00,0.06999999999999999,0.93,0.02,0.12
kalshi,KXACTORSONNYCROCKETT-35-PED,KXACTORSONNYCROCKETT-35-PED,1774374406,2026-03-24T17:46:46.604962+00:00,0.095,0.905,0.06,0.13
kalshi,KXACTORSONNYCROCKETT-35-RYA,KXACTORSONNYCROCKETT-35-RYA,1774374406,2026-03-24T17:46:46.604962+00:00,0.19,0.81,0.16,0.22
kalshi,KXACTORSONNYCROCKETT-35-TOM,KXACTORSONNYCROCKETT-35-TOM,1774374406,2026-03-24T17:46:46.604962+00:00,0.06,0.94,0.0,0.12
kalshi,KXACTORSONNYCROCKETT-35-GLE,KXACTORSONNYCROCKETT-35-GLE,1774374406,2026-03-24T17:46:46.604962+00:00,0.365,0.635,0.33,0.4
kalshi,KXACTORSONNYCROCKETT-35-OSC,KXACTORSONNYCROCKETT-35-OSC,1774374406,2026-03-24T17:46:46.604962+00:00,0.06,0.94,0.01,0.11
kalshi,KXACTORSONNYCROCKETT-35-GAR,KXACTORSONNYCROCKETT-35-GAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.06,0.94,0.01,0.11
kalshi,KXACTORSONNYCROCKETT-35-JAK,KXACTORSONNYCROCKETT-35-JAK,1774374406,2026-03-24T17:46:46.604962+00:00,0.02,0.98,0.01,0.03
kalshi,KXFDATYPE1DIABETES-33,KXFDATYPE1DIABETES-33,1774374406,2026-03-24T17:46:46.604962+00:00,0.395,0.605,0.39,0.4
kalshi,KXNEXTSPEAKER-31-SSCA,KXNEXTSPEAKER-31-SSCA,1774374406,2026-03-24T17:46:46.604962+00:00,0.10500000000000001,0.895,0.07,0.14
kalshi,KXNEXTSPEAKER-31-JJOR,KXNEXTSPEAKER-31-JJOR,1774374406,2026-03-24T17:46:46.604962+00:00,0.135,0.865,0.1,0.17
kalshi,KXNEXTSPEAKER-31-HJEF,KXNEXTSPEAKER-31-HJEF,1774374406,2026-03-24T17:46:46.604962+00:00,0.78,0.21999999999999997,0.77,0.79
kalshi,KXMOONMAN-31-PRC,KXMOONMAN-31-PRC,1774374406,2026-03-24T17:46:46.604962+00:00,0.315,0.685,0.31,0.32
kalshi,KXMOONMAN-31-USA,KXMOONMAN-31-USA,1774374406,2026-03-24T17:46:46.604962+00:00,0.6845,0.3155,0.68,0.689
kalshi,KXMOONMAN-31-E,KXMOONMAN-31-E,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.03,0.04
kalshi,KXMOONMAN-31-R,KXMOONMAN-31-R,1774374406,2026-03-24T17:46:46.604962+00:00,0.04,0.96,0.03,0.05
kalshi,KXMOONMAN-31-I,KXMOONMAN-31-I,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.03,0.04
kalshi,KXTVSEASONRELEASETHELASTOFUS-27-APR,KXTVSEASONRELEASETHELASTOFUS-27-APR,1774374406,2026-03-24T17:46:46.604962+00:00,0.30500000000000005,0.695,0.27,0.34
kalshi,KXTVSEASONRELEASETHELASTOFUS-28-JAN,KXTVSEASONRELEASETHELASTOFUS-28-JAN,1774374406,2026-03-24T17:46:46.604962+00:00,0.79,0.20999999999999996,0.76,0.82
kalshi,KXTVSEASONRELEASETHELASTOFUS-27-JUL,KXTVSEASONRELEASETHELASTOFUS-27-JUL,1774374406,2026-03-24T17:46:46.604962+00:00,0.5,0.5,0.47,0.53
kalshi,KXTVSEASONRELEASETHELASTOFUS-26-OCT,KXTVSEASONRELEASETHELASTOFUS-26-OCT,1774374406,2026-03-24T17:46:46.604962+00:00,0.05,0.95,0.03,0.07
kalshi,KXTVSEASONRELEASETHELASTOFUS-27-JAN,KXTVSEASONRELEASETHELASTOFUS-27-JAN,1774374406,2026-03-24T17:46:46.604962+00:00,0.135,0.865,0.12,0.15
kalshi,KXTVSEASONRELEASETHELASTOFUS-26-APR,KXTVSEASONRELEASETHELASTOFUS-26-APR,1774374406,2026-03-24T17:46:46.604962+00:00,0.005,0.995,0.0,0.01
kalshi,KXTVSEASONRELEASETHELASTOFUS-26-JUL,KXTVSEASONRELEASETHELASTOFUS-26-JUL,1774374406,2026-03-24T17:46:46.604962+00:00,0.03,0.97,0.02,0.04
kalshi,KXPRIMEENGCONSUMPTION-30-OIL,KXPRIMEENGCONSUMPTION-30-OIL,1774374406,2026-03-24T17:46:46.604962+00:00,0.38,0.62,0.36,0.4
kalshi,KXPRIMEENGCONSUMPTION-30-NUCLEAR,KXPRIMEENGCONSUMPTION-30-NUCLEAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.045,0.955,0.03,0.06
kalshi,KXPRIMEENGCONSUMPTION-30-WIND,KXPRIMEENGCONSUMPTION-30-WIND,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.02,0.05
kalshi,KXPRIMEENGCONSUMPTION-30-RENEWABLE,KXPRIMEENGCONSUMPTION-30-RENEWABLE,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.02,0.05
kalshi,KXPRIMEENGCONSUMPTION-30-SOLAR,KXPRIMEENGCONSUMPTION-30-SOLAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.07,0.9299999999999999,0.06,0.08
kalshi,KXPRIMEENGCONSUMPTION-30-BIOMASS,KXPRIMEENGCONSUMPTION-30-BIOMASS,1774374406,2026-03-24T17:46:46.604962+00:00,0.045,0.955,0.03,0.06
kalshi,KXPRIMEENGCONSUMPTION-30-GAS,KXPRIMEENGCONSUMPTION-30-GAS,1774374406,2026-03-24T17:46:46.604962+00:00,0.16999999999999998,0.8300000000000001,0.15,0.19
kalshi,KXPRIMEENGCONSUMPTION-30-HYDROPOWER,KXPRIMEENGCONSUMPTION-30-HYDROPOWER,1774374406,2026-03-24T17:46:46.604962+00:00,0.03,0.97,0.02,0.04
kalshi,KXPRIMEENGCONSUMPTION-30-COAL,KXPRIMEENGCONSUMPTION-30-COAL,1774374406,2026-03-24T17:46:46.604962+00:00,0.27,0.73,0.26,0.28
kalshi,KXPRIMEENGCONSUMPTION-30-BIOFUEL,KXPRIMEENGCONSUMPTION-30-BIOFUEL,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.02,0.05
kalshi,KXACTORTOMCRUZ-30-TOM,KXACTORTOMCRUZ-30-TOM,1774374406,2026-03-24T17:46:46.604962+00:00,0.41500000000000004,0.585,0.38,0.45
kalshi,KXINDIANAPOWELL-30-GLE,KXINDIANAPOWELL-30-GLE,1774374406,2026-03-24T17:46:46.604962+00:00,0.27,0.73,0.25,0.29
kalshi,KXTIMEDECADE20S-30-EMUS,KXTIMEDECADE20S-30-EMUS,1774374406,2026-03-24T17:46:46.604962+00:00,0.32499999999999996,0.675,0.3,0.35
kalshi,KXTIMEDECADE20S-30-XJIN,KXTIMEDECADE20S-30-XJIN,1774374406,2026-03-24T17:46:46.604962+00:00,0.11000000000000001,0.89,0.08,0.14
kalshi,KXTIMEDECADE20S-30-JHUA,KXTIMEDECADE20S-30-JHUA,1774374406,2026-03-24T17:46:46.604962+00:00,0.08,0.92,0.06,0.1
kalshi,KXTIMEDECADE20S-30-VZEL,KXTIMEDECADE20S-30-VZEL,1774374406,2026-03-24T17:46:46.604962+00:00,0.135,0.865,0.11,0.16
kalshi,KXTIMEDECADE20S-30-SALT,KXTIMEDECADE20S-30-SALT,1774374406,2026-03-24T17:46:46.604962+00:00,0.1,0.9,0.08,0.12
kalshi,KXTIMEDECADE20S-30-TAY,KXTIMEDECADE20S-30-TAY,1774374406,2026-03-24T17:46:46.604962+00:00,0.15000000000000002,0.85,0.13,0.17
kalshi,KXU3MAX-30-15,KXU3MAX-30-15,1774374406,2026-03-24T17:46:46.604962+00:00,0.23,0.77,0.2,0.26
kalshi,KXU3MAX-30-6,KXU3MAX-30-6,1774374406,2026-03-24T17:46:46.604962+00:00,0.8400000000000001,0.15999999999999992,0.81,0.87
kalshi,KXU3MAX-30-10,KXU3MAX-30-10,1774374406,2026-03-24T17:46:46.604962+00:00,0.375,0.625,0.34,0.41
kalshi,KXU3MAX-30-5,KXU3MAX-30-5,1774374406,2026-03-24T17:46:46.604962+00:00,0.885,0.11499999999999999,0.87,0.9
kalshi,KXU3MAX-30-17,KXU3MAX-30-17,1774374406,2026-03-24T17:46:46.604962+00:00,0.16999999999999998,0.8300000000000001,0.15,0.19
kalshi,KXU3MAX-30-20,KXU3MAX-30-20,1774374406,2026-03-24T17:46:46.604962+00:00,0.115,0.885,0.1,0.13
kalshi,KXU3MAX-30-7,KXU3MAX-30-7,1774374406,2026-03-24T17:46:46.604962+00:00,0.72,0.28,0.68,0.76
kalshi,KXU3MAX-30-9,KXU3MAX-30-9,1774374406,2026-03-24T17:46:46.604962+00:00,0.485,0.515,0.45,0.52
kalshi,KXU3MAX-30-12,KXU3MAX-30-12,1774374406,2026-03-24T17:46:46.604962+00:00,0.275,0.725,0.24,0.31
kalshi,KXU3MAX-30-8,KXU3MAX-30-8,1774374406,2026-03-24T17:46:46.604962+00:00,0.61,0.39,0.59,0.63
kalshi,KXPERFORMROLEBRITNEY-ANY,KXPERFORMROLEBRITNEY-ANY,1774374406,2026-03-24T17:46:46.604962+00:00,0.05,0.95,0.0,0.1
kalshi,KXPERFORMROLEBRITNEY-MAR,KXPERFORMROLEBRITNEY-MAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.055,0.945,0.0,0.11
kalshi,KXPERFORMROLEBRITNEY-FLO,KXPERFORMROLEBRITNEY-FLO,1774374406,2026-03-24T17:46:46.604962+00:00,0.05,0.95,0.0,0.1
kalshi,KXPERFORMROLEBRITNEY-ADD,KXPERFORMROLEBRITNEY-ADD,1774374406,2026-03-24T17:46:46.604962+00:00,0.19,0.81,0.14,0.24
kalshi,KXPERFORMROLEBRITNEY-MIL,KXPERFORMROLEBRITNEY-MIL,1774374406,2026-03-24T17:46:46.604962+00:00,0.055,0.945,0.0,0.11
kalshi,KXPERFORMROLEBRITNEY-OLI,KXPERFORMROLEBRITNEY-OLI,1774374406,2026-03-24T17:46:46.604962+00:00,0.245,0.755,0.2,0.29
kalshi,KXPERFORMROLEBRITNEY-EMM,KXPERFORMROLEBRITNEY-EMM,1774374406,2026-03-24T17:46:46.604962+00:00,0.09000000000000001,0.91,0.04,0.14
kalshi,KXPERFORMROLEBRITNEY-SYD,KXPERFORMROLEBRITNEY-SYD,1774374406,2026-03-24T17:46:46.604962+00:00,0.06,0.94,0.01,0.11
kalshi,KXPERFORMROLEBRITNEY-CHL,KXPERFORMROLEBRITNEY-CHL,1774374406,2026-03-24T17:46:46.604962+00:00,0.06999999999999999,0.93,0.02,0.12
