category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,fifa-world-cup,foreign-policy,formula1,france
bernie-sanders,1.046392712785026e-09,-1.030066998588914e-09,0.0,-3.761580814911851e-06,-6.06698669615569e-10,1.6723303110368688e-10,-9.974636687682537e-11,-1.227650420928594e-08,-4.051913760631542e-10,1.0409979862302956e-10,5.788867423553651e-05,-1.1478553262658107e-07,-5.7836152088061256e-09,-2.5457274745235803e-10,-1.268386037678923e-10,-2.3628563858482796e-10,-2.0671843110272176e-09,-4.774468158679967e-09,1.6047799530414568e-09,0.0,1.959366573402138e-11,-5.150334992944714e-09,6.259715323402306e-11,5.487639957840697e-10,1.775101484660669e-09,-3.9720105550031164e-10,7.640425565560812e-07,2.3808930549275207e-11,9.110857332487577e-10,8.44454276440594e-10,-8.185270768155382e-10,3.408624193454534e-09,-6.371030719887978e-10,-5.817293894288408e-09,1.18382767435027e-10,-4.926226320613842e-10,8.049756638469543e-10,1.549770962078101e-08,-1.5049680174189443e-09,-5.202451477992338e-09
best-of-2025,7.615096642770316e-08,-7.496286668421193e-08,0.0,-1.3364889729610086e-07,-4.415234305164843e-08,1.2170341767084583e-08,-7.259016755865922e-09,-8.934195053812234e-07,-2.9487700457371063e-08,7.575836655982631e-09,-1.1478553262658107e-07,0.08834743847637841,-4.2090114181349926e-07,-1.8526467651954837e-08,-9.230647479909239e-09,-1.719562790468147e-08,-1.5043881818513127e-07,-3.474607191157556e-07,1.1678745736164441e-07,0.0,1.4259240945367457e-09,-3.7481433342104626e-07,4.555492078788112e-09,3.99361617384193e-08,1.2918256397676076e-07,-2.8906206888563605e-08,-7.44655394131713e-07,1.7326889310149648e-09,6.630403503167213e-08,6.145494752520342e-08,-5.956810209509775e-08,2.4806176815733094e-07,-4.6365015785400216e-08,-4.2335209967681964e-07,3.3245012608437594e-07,-3.585048811720569e-08,5.85819014254912e-08,2.5606152630523823e-06,-1.0952366885679473e-07,-3.7860709750923354e-07
big-tech,1.099834971991036e-06,-3.7770994822224195e-09,0.0,-1.582667041762035e-08,1.1620065990352065e-06,6.132181654761357e-10,-3.6575480158098796e-10,-4.5016079299616597e-08,-1.485775331920777e-09,3.817181756306578e-10,-5.7836152088061256e-09,-4.2090114181349926e-07,0.0006439187042790822,-9.334796609419132e-10,-2.592407032577727e-07,-1.6209424641637052e-08,-7.580051396205597e-09,-1.7507250727128544e-08,5.88448473547583e-09,0.0,7.184700102054198e-11,-1.8885497411112827e-08,2.2953426854049753e-10,2.0122343567730615e-09,-4.798249862369584e-07,-1.456476038086219e-09,-3.75204101446329e-08,8.730373788617077e-11,7.949151856012366e-07,3.0964857768220607e-09,-3.0014146674539106e-09,1.2498908026200687e-08,-2.3361603532855354e-09,-2.1331134563240713e-08,4.3409165636322966e-10,-1.8063724894001031e-09,2.9517236910637724e-09,4.876517478474711e-10,-5.518489503247061e-09,-1.907660065872502e-08
bitcoin,1.6888853761491247e-10,-1.6625355558339538e-10,0.0,-6.966298458275417e-10,-9.792160231274552e-11,2.6991531686835657e-11,-1.6099135466445628e-11,-1.9814366227868658e-09,-6.539817997713938e-11,1.680178248629023e-11,-2.5457274745235803e-10,-1.8526467651954837e-08,-9.334796609419132e-10,1.5875412698060692e-05,-2.0471842016621563e-11,-1.1412602995173282e-08,-3.3364503690079967e-10,-7.706026001101231e-10,2.590126404278291e-10,0.0,3.162431763812188e-12,-8.312677779170064e-10,1.0103225623975955e-11,8.857090422294736e-11,2.8650265832269496e-10,-6.410853648244754e-11,-1.6515057712545917e-09,3.842778541472706e-12,1.4704989364907282e-10,1.362955285221079e-10,-1.321108598258917e-10,5.50154400233919e-10,-1.0282889475766747e-10,-9.389154250393168e-10,1.9107063941318034e-11,-7.950964767655948e-11,1.2992365201097205e-10,2.1464575489121742e-11,-2.429029221186031e-10,-8.396794161459463e-10
brazil,-1.3613775490844967e-07,-8.283435313747263e-11,0.0,-3.4708961533423285e-10,-9.290652331440892e-08,1.3448290231287087e-11,-8.021250840355992e-12,-9.872331473183078e-10,-3.258406062814964e-11,8.371338459049541e-12,-1.268386037678923e-10,-9.230647479909239e-09,-2.592407032577727e-07,-2.0471842016621563e-11,5.1121679874460865e-06,-1.9001257252840308e-11,-1.6623566763565645e-10,-3.839458812305506e-10,1.290507408938418e-10,0.0,1.5756534564196997e-12,-4.1417176568740294e-10,5.0338421709368524e-12,4.412966406863284e-11,1.4274739743791527e-10,-3.19415072446396e-11,-8.22848039457827e-10,1.9146301780817102e-12,-1.16497039052089e-07,6.790803301043077e-11,-6.582305910819423e-11,2.7410952932221686e-10,-5.123358084705126e-11,-4.678062469762641e-10,9.519924409321847e-12,-3.9614973709077685e-11,6.473330229733613e-11,1.0694533538085722e-11,-1.2102421724632158e-10,-4.1836278950683126e-10
bundesliga,1.5675651207506676e-10,-1.5431081268971068e-10,0.0,-6.46587781394088e-10,-9.088745187874477e-11,2.5052608202689374e-11,-1.494266194013906e-11,-1.83910109159747e-09,-6.070033368782714e-11,1.5594834654808713e-11,-2.3628563858482796e-10,-1.719562790468147e-08,-1.6209424641637052e-08,-1.1412602995173282e-08,-1.9001257252840308e-11,7.71098754907505e-06,-3.096778087745652e-10,-7.152467390336981e-10,2.4040659401883613e-10,0.0,2.935260023987147e-12,-7.715540634484857e-10,9.377465350152597e-12,8.220845661524705e-11,2.758525493923821e-10,-5.950333110313839e-11,-1.5328706615009727e-09,3.566734423454887e-12,-9.907804344081553e-10,1.2650480585762505e-10,-1.2262074079157206e-10,5.106343278313444e-10,2.1022093420845872e-09,-8.714688944624087e-10,1.773451734340795e-11,-7.379811100332483e-11,1.2059064998084138e-10,1.9922678201640056e-11,-2.2545410944923667e-10,-7.793614557572138e-10
business,1.3714104858582097e-09,-1.3500138769521007e-09,0.0,-5.65678102742563e-09,-7.951440287198117e-10,2.1917692051485708e-10,-1.3072836975045047e-10,-1.6089682579579785e-08,-5.310469913664795e-10,1.3643401149779655e-10,-2.0671843110272176e-09,-1.5043881818513127e-07,-7.580051396205597e-09,-3.3364503690079967e-10,-1.6623566763565645e-10,-3.096778087745652e-10,0.0004640361622606363,-6.257455367576718e-09,2.1032371768324956e-09,0.0,6.032280011849285e-06,-6.750069384760921e-09,-6.087477629633882e-07,7.192143913892634e-10,2.3264619103155097e-09,-5.205748146479095e-10,-1.3410574596353148e-08,3.120417087523308e-11,1.1940760986069055e-09,1.1067483893843566e-09,-1.0727679984659007e-09,4.4673695679812976e-09,-8.349922766304148e-10,1.727789482527071e-07,1.5515338230249651e-10,-6.45635080334147e-10,1.0550074104797243e-09,1.742968724579916e-10,-1.972422872170292e-09,-6.818373658296749e-09
california-midterm,3.1674755184048093e-09,-3.1180568829302874e-09,0.0,-1.306517312074921e-08,-1.8365028345251478e-09,5.062215413175271e-10,-3.4540595515156615e-08,7.190420164903893e-06,-1.2265316341251335e-09,3.151145450275098e-10,-4.774468158679967e-09,-3.474607191157556e-07,-1.7507250727128544e-08,-7.706026001101231e-10,-3.839458812305506e-10,-7.152467390336981e-10,-6.257455367576718e-09,0.00034915905166666523,4.857737588937459e-09,0.0,5.931086462096833e-11,-1.559028441465039e-08,1.8948426147091128e-10,1.6611320977202417e-09,5.373308153477307e-09,-1.2023445918627472e-09,-1.652659408194085e-06,7.207065159463834e-11,2.757895501348202e-09,2.5561992303241688e-09,-2.477716487593037e-09,1.0318051294024957e-08,-1.9285382615614665e-09,-1.7609197549248988e-08,3.583497028121852e-10,-1.491189787353945e-09,2.4366957806506506e-09,4.025644270174081e-10,-4.555602588696517e-09,-1.5748043245036835e-08
celebrities,-1.064642394660243e-09,1.048031950757272e-09,0.0,4.391426900413711e-09,6.172798382144389e-10,-1.701496699328436e-10,1.0148600003889631e-10,1.2490613399480173e-08,4.1225814327340935e-10,-1.0591535810170525e-10,1.6047799530414568e-09,1.1678745736164441e-07,5.88448473547583e-09,2.590126404278291e-10,1.290507408938418e-10,2.4040659401883613e-10,2.1032371768324956e-09,4.857737588937459e-09,2.8712641281994235e-05,0.0,-1.99353903676566e-11,5.240159753786059e-09,-6.368888305864817e-11,-9.690118827987477e-07,-1.8060602604582504e-09,4.0412846699192233e-10,1.0410789766636941e-08,-2.422417178997777e-11,-9.269755847258388e-10,-8.591820375525846e-10,-1.6741247793556094e-07,-3.468072530969181e-09,6.482145105944498e-10,5.918750796318289e-09,-2.062137446009439e-06,-2.0873986273044274e-08,-8.190148955837725e-10,-8.096497461291572e-08,1.5312155124699415e-09,5.293185179865982e-09
champions-league,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-science,-2.4517192217362736e-07,1.2796014607978384e-11,0.0,5.3617413788693467e-11,7.536718533538467e-12,-2.0774535169771924e-12,1.239099951166566e-12,1.5250496075716997e-10,5.033492747787552e-12,-1.293180487961407e-12,1.959366573402138e-11,1.4259240945367457e-09,7.184700102054198e-11,3.162431763812188e-12,1.5756534564196997e-12,2.935260023987147e-12,6.032280011849285e-06,5.931086462096833e-11,-1.99353903676566e-11,0.0,7.702210769336576e-06,6.398007303993737e-11,-8.792557114143622e-08,-6.817024636269481e-12,-2.2051210804242947e-11,4.9342329338328165e-12,1.2711121816295203e-10,-2.957666088964333e-13,-1.1317968994009356e-11,-1.04902392484342e-11,1.016815842688405e-11,-4.234365825940459e-11,7.914417438018382e-12,1.5421425121803275e-06,-1.4706107695009782e-12,6.119608146569952e-12,-9.999815903010233e-12,-1.6520610374267266e-12,1.8695475888285785e-11,6.462749044566734e-11
colombia-election,3.416832924538069e-09,-3.3635238398129655e-09,0.0,-1.409372019590179e-08,-1.9810803002427813e-09,5.460734958910654e-10,-3.257062728779054e-10,-4.00870182561539e-08,-1.3230895222758112e-09,3.3992172826424907e-10,-5.150334992944714e-09,-3.7481433342104626e-07,-1.8885497411112827e-08,-8.312677779170064e-10,-4.1417176568740294e-10,-7.715540634484857e-10,-6.750069384760921e-09,-1.559028441465039e-08,5.240159753786059e-09,0.0,6.398007303993737e-11,0.00043228008389276323,2.0440128408683846e-10,1.7919036186765985e-09,5.796318268542556e-09,-1.296998371177794e-09,-3.341209163142784e-08,7.774436576714873e-11,2.9750089927097224e-09,2.7574343167297504e-09,-2.6727730722106355e-09,1.1130333028194107e-08,-2.080361155136364e-09,-1.8995469929084026e-08,3.8656054512586195e-10,-1.6085827128134155e-09,2.628523037363053e-09,4.342560441237169e-10,-4.9142393763501564e-09,-1.6987797488578786e-08
colorado-midterm,-4.152817524400903e-11,4.0880256817368116e-11,0.0,1.7129502526511075e-10,2.407804294149246e-11,-6.6369753319246355e-12,3.958632885152009e-12,4.872174776811635e-10,1.6080825360230784e-11,-4.131407479488078e-12,6.259715323402306e-11,4.555492078788112e-09,2.2953426854049753e-10,1.0103225623975955e-11,5.0338421709368524e-12,9.377465350152597e-12,-6.087477629633882e-07,1.8948426147091128e-10,-6.368888305864817e-11,0.0,-8.792557114143622e-08,2.0440128408683846e-10,1.0651024305935756e-06,-2.1778790224818896e-11,-7.044843167407902e-11,1.576371360234116e-11,4.0609044316277603e-10,-9.449047457451114e-13,-3.615824874388668e-11,-3.351384690384733e-11,3.248487443829102e-11,-1.352780281410725e-10,2.528470209968433e-11,2.3087087413381828e-10,-4.6982554941799435e-12,1.9550708585268564e-11,-3.19470596717233e-11,-5.277946419804215e-12,5.97276479474521e-11,2.0646963041389511e-10
comex-gold-futures,4.469572411185487e-07,3.583807237353421e-10,0.0,1.5016743999683963e-09,2.1108249133690175e-10,-5.818368591700795e-11,3.4703737912446195e-11,4.271239122785862e-09,1.409741102314192e-10,-3.621838309775387e-11,5.487639957840697e-10,3.99361617384193e-08,2.0122343567730615e-09,8.857090422294736e-11,4.412966406863284e-11,8.220845661524705e-11,7.192143913892634e-10,1.6611320977202417e-09,-9.690118827987477e-07,0.0,-6.817024636269481e-12,1.7919036186765985e-09,-2.1778790224818896e-11,0.00012479752655674518,-6.175929872987709e-10,1.3819411934721167e-10,3.5600311312334368e-09,-8.283598807947518e-12,-3.169847834305055e-10,-2.938023790362997e-10,6.466435344617429e-08,-1.1859279125196753e-09,2.2166078550825262e-10,-1.2331100524809497e-06,-4.7613744867344516e-08,3.3932847205723764e-07,-2.800669872872482e-10,-3.7313243895838555e-08,5.23608200262655e-10,1.8100359767227774e-09
comex-silver-futures,-1.1776370285611204e-09,1.1592636537085531e-09,0.0,4.857506099779688e-09,6.827941458197067e-10,-1.8820831550137643e-10,1.1225710353615164e-10,1.3816290730525302e-08,4.5601270180447475e-10,-1.1715656657998824e-10,1.775101484660669e-09,1.2918256397676076e-07,-4.798249862369584e-07,2.8650265832269496e-10,1.4274739743791527e-10,2.758525493923821e-10,2.3264619103155097e-09,5.373308153477307e-09,-1.8060602604582504e-09,0.0,-2.2051210804242947e-11,5.796318268542556e-09,-7.044843167407902e-11,-6.175929872987709e-10,8.042026555617867e-05,4.4702019139225916e-10,1.1515727334593857e-08,6.768866952072142e-07,-1.0253591051984835e-09,-9.503703654590724e-10,9.211912341899449e-10,-3.836152543510374e-09,7.170120351728414e-10,6.546930815012011e-09,-1.3323098371352876e-10,5.544100656804127e-10,-9.059401286478884e-10,-1.496695942502007e-10,1.6937293641844742e-09,5.854971489116888e-09
commodities,2.635109455896949e-10,-2.5939967423559247e-10,0.0,-1.0869274611080315e-09,-1.527836902580246e-10,4.211395360607396e-11,-2.5118924409260858e-11,-3.091567050495963e-09,-1.0203851894861662e-10,2.6215240258936922e-11,-3.9720105550031164e-10,-2.8906206888563605e-08,-1.456476038086219e-09,-6.410853648244754e-11,-3.19415072446396e-11,-5.950333110313839e-11,-5.205748146479095e-10,-1.2023445918627472e-09,4.0412846699192233e-10,0.0,4.9342329338328165e-12,-1.296998371177794e-09,1.576371360234116e-11,1.3819411934721167e-10,4.4702019139225916e-10,1.297790112886367e-05,-2.576787350852739e-09,5.995754486688547e-12,2.2943686452354516e-10,2.1265720046910744e-10,-2.0612800659548517e-10,8.583868880226911e-10,-1.6044036898062618e-10,-1.4649572728552791e-09,2.981209120358435e-11,-1.2405615406846726e-10,2.027153818688404e-10,3.3490434956091894e-11,-3.789930305389859e-10,-1.3101227594576494e-09
congress,6.788329157215069e-09,-6.682418326285894e-09,0.0,-2.8000436033142585e-08,-3.9358743789734685e-09,1.0849013446101086e-09,-1.8983861850797575e-09,-1.0478735631120911e-06,-2.628623459218292e-09,6.753331608865068e-10,7.640425565560812e-07,-7.44655394131713e-07,-3.75204101446329e-08,-1.6515057712545917e-09,-8.22848039457827e-10,-1.5328706615009727e-09,-1.3410574596353148e-08,-1.652659408194085e-06,1.0410789766636941e-08,0.0,1.2711121816295203e-10,-3.341209163142784e-08,4.0609044316277603e-10,3.5600311312334368e-09,1.1515727334593857e-08,-2.576787350852739e-09,0.00044532849186420837,1.5445717031007308e-10,5.910543691836383e-09,5.478281257750249e-09,-5.310082107441421e-09,2.2112981785614348e-08,-4.133118767830589e-09,-3.773889599592612e-08,7.679919614039621e-10,-3.195821736779774e-09,5.222169175085979e-09,8.627501054708217e-10,-9.763273528664163e-09,-3.375019017769795e-08
connecticut-primary,-1.5795309996397076e-11,1.5548873153418493e-11,0.0,6.515234558232699e-11,9.158123373656192e-12,-2.524384521837816e-12,1.5056725515986322e-12,1.853139717892634e-10,6.116368467195795e-12,-1.571387653721085e-12,2.3808930549275207e-11,1.7326889310149648e-09,8.730373788617077e-11,3.842778541472706e-12,1.9146301780817102e-12,3.566734423454887e-12,3.120417087523308e-11,7.207065159463834e-11,-2.422417178997777e-11,0.0,-2.957666088964333e-13,7.774436576714873e-11,-9.449047457451114e-13,-8.283598807947518e-12,6.768866952072142e-07,5.995754486688547e-12,1.5445717031007308e-10,4.499605068201694e-06,-1.375284958899919e-11,-1.2747046984540406e-11,1.2355675608956325e-11,-5.1453221280093235e-11,9.617078176059764e-12,8.781211802964941e-11,-1.7869892316912643e-12,7.436144278886513e-12,-1.2151116874828895e-11,-2.007475632032411e-12,2.2717509477418244e-11,7.853106470644145e-11
crypto-prices,-5.8791810633479127e-08,5.950017985419122e-10,0.0,2.4931557687947793e-09,1.516763246656689e-07,-9.659949733230666e-11,5.761690042592977e-11,7.091327160601607e-09,-4.783798426899641e-10,-6.013159094838959e-11,9.110857332487577e-10,6.630403503167213e-08,7.949151856012366e-07,1.4704989364907282e-10,-1.16497039052089e-07,-9.907804344081553e-10,1.1940760986069055e-09,2.757895501348202e-09,-9.269755847258388e-10,0.0,-1.1317968994009356e-11,2.9750089927097224e-09,-3.615824874388668e-11,-3.169847834305055e-10,-1.0253591051984835e-09,2.2943686452354516e-10,5.910543691836383e-09,-1.375284958899919e-11,5.3356522928126465e-06,-4.87785565363129e-10,4.728091313746379e-10,-1.968937485073512e-09,3.6801244405384966e-10,3.36026718115454e-09,-6.838192043495586e-11,2.8455561869326104e-10,-4.649813734713693e-10,-7.681917524198977e-11,8.693208095580364e-10,3.005113250374059e-09
delaware-midterm,-5.602274762635856e-10,5.514868633459632e-10,0.0,2.3108210061461898e-09,3.2481998429307114e-10,-8.953477773538551e-11,5.3403138897189134e-11,6.572709162129243e-09,2.1693513271079605e-10,6.229478072141617e-08,8.44454276440594e-10,6.145494752520342e-08,3.0964857768220607e-09,1.362955285221079e-10,6.790803301043077e-11,1.2650480585762505e-10,1.1067483893843566e-09,2.5561992303241688e-09,-8.591820375525846e-10,0.0,-1.04902392484342e-11,2.7574343167297504e-09,-3.351384690384733e-11,-2.938023790362997e-10,-9.503703654590724e-10,2.1265720046910744e-10,5.478281257750249e-09,-1.2747046984540406e-11,-4.87785565363129e-10,4.297938400614485e-06,4.3823064982675984e-10,2.356158158188874e-06,3.4109817641035223e-10,3.114516985125693e-09,-6.338086860016675e-11,2.6374489284765133e-10,-4.309753681390534e-10,-7.120107216962112e-11,8.057437938496167e-10,2.7853369258871207e-09
